first_column,zone_id,access_node_vector,cell_code,cell_id,access_distance,x_coord,y_coord,geometry,production,attraction,
,2,10;26;106;,A8,10,86.521530,-111.941825,33.414226,"LINESTRING (-111.942500 33.415000,-111.940000 33.415000,-111.940000 33.412500,-111.942500 33.412500,-111.942500 33.415000,)",272.73,272.73,
,3,11;24;67;,A6,11,151.751602,-111.941825,33.418896,"LINESTRING (-111.942500 33.420000,-111.940000 33.420000,-111.940000 33.417500,-111.942500 33.417500,-111.942500 33.420000,)",272.73,272.73,
,4,37;49;,H8,37,79.442398,-111.923170,33.413225,"LINESTRING (-111.925000 33.415000,-111.922500 33.415000,-111.922500 33.412500,-111.925000 33.412500,-111.925000 33.415000,)",181.82,181.82,
,5,39;225;,I5,39,155.335968,-111.921825,33.420710,"LINESTRING (-111.922500 33.422500,-111.920000 33.422500,-111.920000 33.420000,-111.922500 33.420000,-111.922500 33.422500,)",181.82,181.82,
,6,46;299;326;,I8,46,174.903625,-111.921825,33.413322,"LINESTRING (-111.922500 33.415000,-111.920000 33.415000,-111.920000 33.412500,-111.922500 33.412500,-111.922500 33.415000,)",272.73,272.73,
,7,57;,A7,57,53.413914,-111.941825,33.416220,"LINESTRING (-111.942500 33.417500,-111.940000 33.417500,-111.940000 33.415000,-111.942500 33.415000,-111.942500 33.417500,)",90.91,90.91,
,8,59;,F5,59,68.435478,-111.928311,33.420760,"LINESTRING (-111.930000 33.422500,-111.927500 33.422500,-111.927500 33.420000,-111.930000 33.420000,-111.930000 33.422500,)",90.91,90.91,
,9,72;327;,A1,72,72.709740,-111.940834,33.431225,"LINESTRING (-111.942500 33.432500,-111.940000 33.432500,-111.940000 33.430000,-111.942500 33.430000,-111.942500 33.432500,)",181.82,181.82,
,10,75;,G1,75,3.235306,-111.926269,33.431225,"LINESTRING (-111.927500 33.432500,-111.925000 33.432500,-111.925000 33.430000,-111.927500 33.430000,-111.927500 33.432500,)",90.91,90.91,
,11,81;,D6,81,24.080297,-111.933858,33.418552,"LINESTRING (-111.935000 33.420000,-111.932500 33.420000,-111.932500 33.417500,-111.935000 33.417500,-111.935000 33.420000,)",90.91,90.91,
