iteration_no,link_id,from_node_id,to_node_id,volume,ref_volume,base_volume,obs_volume,capacity,D,doc,fftt,travel_time,VDF_alpha,VDF_beta,VDF_plf,speed,VMT,VHT,PMT,PHT,VHT_QVDF,PHT_QVDF,geometry,mod_vol_auto,P,t0,t2,t3,vt2,mu,Q_gamma,free_speed,cutoff_speed,congestion_ref_speed,avg_queue_speed,avg_QVDF_period_speed,avg_QVDF_period_travel_time,Severe_Congestion_P,spd_07:00,spd_07:05,spd_07:10,spd_07:15,spd_07:20,spd_07:25,spd_07:30,spd_07:35,spd_07:40,spd_07:45,spd_07:50,spd_07:55,
40,1,1,547,4989.1300,4989.1300,0.0000,-1.0000,49500.0000,4989.1300,0.1008,0.8627,0.8627,0.1500,4.0000,1.0000,59.9991,4303.972777,71.733990,4303.972777,71.733990,72.702129,72.702129,"LINESTRING (-87.675575 42.011629, -87.663667 42.020633)",4989.130000,0.058109,7.470946,7.500000,7.529054,44.999877,49500.000000,1228416100.863062,60.000000,45.000000,58.488142,58.487237,59.200093,0.874326,0.000000,60.000,59.732,59.465,59.197,58.930,58.662,45.000,58.662,58.930,59.197,59.465,59.732,
40,2,2,548,6719.4100,6719.4100,0.0000,-1.0000,49500.0000,6719.4100,0.1357,0.8627,0.8627,0.1500,4.0000,1.0000,59.9969,5796.633425,96.615478,5796.633425,96.615478,98.421379,98.421379,"LINESTRING (-87.699386 42.003527, -87.687483 42.012530)",6719.410000,0.084058,7.457971,7.500000,7.542029,44.999461,49500.000000,272079495.446840,60.000000,45.000000,57.963815,57.960863,58.896080,0.878839,0.000000,60.000,59.629,59.259,58.888,58.518,58.147,44.999,58.147,58.518,58.888,59.259,59.629,
40,3,3,549,10095.5300,10095.5300,0.0000,-1.0000,49500.0000,10095.5300,0.2040,0.8627,0.8629,0.1500,4.0000,1.0000,59.9844,8709.110865,145.189519,8709.110865,145.189519,149.499006,149.499006,"LINESTRING (-87.664855 41.977415, -87.652950 41.986419)",10095.530000,0.139255,7.430373,7.500000,7.569627,44.995939,49500.000000,33882381.935809,60.000000,45.000000,56.940748,56.925975,58.255309,0.888506,0.000000,60.000,59.408,58.815,58.223,57.631,57.038,44.996,57.038,57.631,58.223,58.815,59.408,
40,4,4,550,9444.6200,9444.6200,0.0000,-1.0000,49500.0000,9444.6200,0.1908,0.8627,0.8628,0.1500,4.0000,1.0000,59.9881,8147.590335,135.820167,8147.590335,135.820167,139.551591,139.551591,"LINESTRING (-87.689857 41.963911, -87.677957 41.972914)",9444.620000,0.128209,7.435896,7.500000,7.564104,44.997082,49500.000000,47763765.105583,60.000000,45.000000,57.137994,57.126637,58.384074,0.886547,0.000000,60.000,59.453,58.906,58.359,57.811,57.264,44.997,57.264,57.811,58.359,58.906,59.453,
40,5,5,551,17223.8200,17223.8200,0.0000,-1.0000,49500.0000,17223.8200,0.3480,0.8627,0.8646,0.1500,4.0000,1.0000,59.8684,14858.472799,248.185730,14858.472799,248.185730,262.271346,262.271346,"LINESTRING (-87.652946 41.932398, -87.641042 41.941401)",17223.820000,0.270079,7.364961,7.500000,7.635039,44.942611,49500.000000,2052545.984610,60.000000,45.000000,54.780661,54.660472,56.653054,0.913635,0.000000,60.000,58.808,57.616,56.425,55.233,50.539,44.943,50.539,55.233,56.425,57.616,58.808,
40,6,6,552,6446.0300,6446.0300,0.0000,-1.0000,49500.0000,6446.0300,0.1302,0.8627,0.8627,0.1500,4.0000,1.0000,59.9974,5560.796700,92.683943,5560.796700,92.683943,94.338490,94.338490,"LINESTRING (-87.743446 41.990019, -87.731543 41.999024)",6446.030000,0.079838,7.460081,7.500000,7.539919,44.999561,49500.000000,335977434.934924,60.000000,45.000000,58.046658,58.044154,58.945153,0.878108,0.000000,60.000,59.646,59.292,58.939,58.585,58.231,45.000,58.231,58.585,58.939,59.292,59.646,
40,7,7,553,9884.2800,9884.2800,0.0000,-1.0000,49500.0000,9884.2800,0.1997,0.8627,0.8629,0.1500,4.0000,1.0000,59.9857,8526.871828,142.148422,8526.871828,142.148422,146.265081,146.265081,"LINESTRING (-87.725585 41.960306, -87.713681 41.969312)",9884.280000,0.135651,7.432175,7.500000,7.567825,44.996343,49500.000000,37786943.444716,60.000000,45.000000,57.004764,56.991172,58.297386,0.887865,0.000000,60.000,59.422,58.845,58.267,57.690,57.112,44.996,57.112,57.690,58.267,58.845,59.422,
40,8,8,554,9252.3000,9252.3000,0.0000,-1.0000,49500.0000,9252.3000,0.1869,0.8627,0.8628,0.1500,4.0000,1.0000,59.9890,7981.681641,133.052384,7981.681641,133.052384,136.622045,136.622045,"LINESTRING (-87.799415 41.987318, -87.787511 41.996323)",9252.300000,0.124980,7.437510,7.500000,7.562490,44.997365,49500.000000,53093241.520873,60.000000,45.000000,57.196273,57.185802,58.421623,0.885977,0.000000,60.000,59.466,58.932,58.398,57.864,57.330,44.997,57.330,57.864,58.398,58.932,59.466,
40,9,9,555,6699.4500,6699.4500,0.0000,-1.0000,49500.0000,6699.4500,0.1353,0.8627,0.8627,0.1500,4.0000,1.0000,59.9970,5779.414532,96.328423,5779.414532,96.328423,98.123026,98.123026,"LINESTRING (-87.822036 41.948603, -87.810136 41.957608)",6699.450000,0.083749,7.458126,7.500000,7.541874,44.999469,49500.000000,276223742.260518,60.000000,45.000000,57.969864,57.966946,58.899677,0.878786,0.000000,60.000,59.631,59.261,58.892,58.523,58.154,44.999,58.154,58.523,58.892,59.261,59.631,
40,10,10,556,13823.6500,13823.6500,0.0000,-1.0000,49500.0000,13823.6500,0.2793,0.8627,0.8635,0.1500,4.0000,1.0000,59.9453,11925.248146,198.935469,11925.248146,198.935469,207.524172,207.524172,"LINESTRING (-87.763686 41.938700, -87.751787 41.947704)",13823.650000,0.205618,7.397191,7.500000,7.602809,44.980703,49500.000000,6595955.525189,60.000000,45.000000,55.811015,55.760142,57.464381,0.900735,0.000000,60.000,59.121,58.242,57.363,56.484,54.274,44.981,54.274,56.484,57.363,58.242,59.121,
